SECTION,ZONATION,BROWN,RED,GREEN,ENCRUSTING,OTHER
3,U,A,A,P,P,A
3,U,A,A,P,P,A
3,L,P,P,P,A,A
3,L,P,P,P,A,A
3,M,A,P,P,A,A
3,M,P,P,P,A,A
3,U,A,A,P,A,A
3,U,A,A,P,A,A
3,L,P,P,P,A,A
3,L,P,P,P,A,A
3,M,P,A,P,A,A
3,M,A,A,A,A,A
3,U,A,P,P,A,A
3,U,A,P,P,A,A
3,L,P,A,P,A,A
3,L,P,A,A,A,A
3,M,A,P,P,A,A
3,M,A,P,P,A,A
3,U,A,P,P,A,A
3,L,P,A,P,A,A
3,L,P,A,P,A,A
3,U,A,P,P,A,A
3,U,A,P,P,A,A
3,M,P,P,P,A,A
3,M,P,P,P,A,A
3,U,A,P,P,A,A
3,U,A,P,P,A,A
3,U,P,A,P,P,A
3,M,A,P,P,A,A
3,L,P,P,P,P,A
4,U,P,A,A,P,A
4,U,P,A,A,P,A
4,U,P,A,A,P,A
4,U,P,A,A,P,A
4,U,A,A,A,A,A
4,U,P,A,A,A,A
4,U,P,A,A,A,A
4,U,P,A,A,A,A
4,U,A,A,A,A,A
4,U,A,A,A,A,A
4,U,A,A,A,A,A
4,U,P,A,A,A,A
4,U,P,A,A,A,A
4,U,P,A,A,A,A
4,U,P,A,A,A,A
4,U,P,A,A,P,A
4,U,P,A,A,P,A
4,M,P,A,P,P,A
4,M,P,A,P,P,A
4,M,P,A,P,A,A
4,M,P,A,P,P,A
4,U,A,A,A,A,A
4,M,P,A,P,P,A
4,M,P,A,P,P,A
4,M,P,A,P,A,A
4,M,P,A,P,P,A
4,M,P,A,P,A,A
4,M,P,A,P,A,A
4,M,A,A,P,A,A
4,M,P,A,P,A,A
4,L,P,A,P,P,A
4,L,P,P,P,A,A
4,L,P,A,P,A,A
4,L,P,A,P,A,A
4,L,P,A,P,P,A
4,L,P,A,P,A,A
4,L,P,P,P,A,A
4,L,P,A,P,A,A
4,L,P,A,P,P,A
4,L,P,A,P,P,A
4,L,P,A,P,P,A
4,L,P,P,P,A,A
4,L,P,A,A,P,A
4,L,P,P,P,A,A
4,L,P,A,P,A,A
4,L,P,A,P,A,A
4,M,A,A,P,A,A
4,M,A,A,P,P,A
4,L,P,A,P,P,A
4,L,P,A,P,A,A
4,M,A,A,P,A,A
4,M,A,A,P,A,A
4,M,A,A,P,A,A
4,M,A,A,P,A,A
4,L,P,A,P,P,A
4,L,P,A,P,A,A
4,L,P,A,P,P,A
4,L,P,A,P,P,A
4,M,A,A,P,P,A
4,M,P,A,P,P,A
4,M,A,A,P,A,A
4,M,A,A,P,A,A
4,U,P,A,A,A,A
4,U,P,A,A,A,A
4,U,P,A,A,A,A
4,U,P,A,A,A,A
4,U,P,A,A,A,A
4,U,P,A,A,A,A
5,L,P,A,P,A,A
5,L,P,A,P,A,A
5,L,P,A,P,A,A
5,L,P,A,P,A,A
5,L,P,A,P,A,A
5,M,A,A,P,P,A
5,M,P,A,P,P,A
5,M,P,P,P,P,A
5,M,P,A,P,P,A
5,M,A,A,P,P,A
5,M,P,A,P,A,A
5,M,P,A,P,P,A
5,M,P,A,P,A,A
5,M,P,A,P,P,A
5,M,P,A,P,P,A
5,L,P,A,P,A,A
5,L,P,A,P,A,A
5,L,P,A,P,A,A
5,L,P,A,P,A,A
5,L,P,A,P,P,A
5,L,P,P,P,P,A
5,L,P,A,P,P,A
5,L,P,A,P,P,A
5,L,P,A,P,A,A
5,L,P,A,P,A,A
5,L,P,A,P,A,A
5,L,P,A,P,A,A
5,L,P,A,A,A,A
5,L,A,A,P,A,A
5,L,P,A,P,A,A
5,L,P,A,P,A,A
5,U,P,A,A,A,A
5,U,P,A,A,A,A
5,U,A,A,A,P,A
5,U,P,A,A,A,A
5,U,P,A,A,P,A
5,U,P,A,P,P,A
5,U,A,A,A,A,A
5,U,A,A,A,A,A
5,U,A,A,A,A,A
5,L,P,A,P,P,A
5,U,P,A,A,A,A
5,U,P,A,A,A,A
5,U,P,A,A,A,A
5,U,P,A,A,A,A
5,U,P,A,A,A,A
5,U,A,A,A,A,A
5,U,A,A,A,A,A
5,U,P,A,A,A,A
5,U,A,A,A,A,A
5,U,A,A,A,A,A
5,U,P,A,A,P,A
6,L,P,A,P,P,A
6,L,P,A,P,P,A
6,L,P,A,P,A,A
6,L,P,A,P,A,A
6,L,P,A,A,A,A
6,L,P,A,P,P,A
6,L,P,A,P,P,A
6,L,P,A,P,A,A
6,L,A,A,P,P,A
6,L,P,A,P,P,A
6,M,P,A,P,P,A
6,M,P,A,P,P,A
6,M,A,A,P,P,A
6,M,P,A,P,P,A
6,M,P,A,P,P,A
6,M,P,A,P,P,A
6,M,P,A,P,P,A
6,M,P,A,P,P,A
6,M,P,A,P,A,A
6,M,P,A,P,P,A
6,M,A,A,P,P,A
6,M,A,A,P,A,A
6,U,P,P,P,P,A
